Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,10,0.01,0.01,0.421656417003586
100% Corpus,10,0.01,0.31,0.45641723963661124
100% Corpus,10,0.01,0.61,0.44984429286289485
100% Corpus,10,0.01,0.9099999999999999,0.44904215866519837
100% Corpus,10,0.01,symmetric,0.44267863022659454
100% Corpus,10,0.31,0.01,0.41319707260660693
100% Corpus,10,0.31,0.31,0.4567811826007688
100% Corpus,10,0.31,0.61,0.4027288402342699
100% Corpus,10,0.31,0.9099999999999999,0.4336235888190906
100% Corpus,10,0.31,symmetric,0.42249117673901493
100% Corpus,10,0.61,0.01,0.4485063001519025
100% Corpus,10,0.61,0.31,0.4180178963314736
100% Corpus,10,0.61,0.61,0.4388442543951995
100% Corpus,10,0.61,0.9099999999999999,0.427254677914296
100% Corpus,10,0.61,symmetric,0.43788310996892205
100% Corpus,10,0.9099999999999999,0.01,0.453551373473238
100% Corpus,10,0.9099999999999999,0.31,0.4470081509600374
100% Corpus,10,0.9099999999999999,0.61,0.4725517860479755
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.4027198174733805
100% Corpus,10,0.9099999999999999,symmetric,0.4637483634524687
100% Corpus,10,symmetric,0.01,0.42895711529196434
100% Corpus,10,symmetric,0.31,0.44831131823013515
100% Corpus,10,symmetric,0.61,0.4194642211968249
100% Corpus,10,symmetric,0.9099999999999999,0.447378726079811
100% Corpus,10,symmetric,symmetric,0.42917482336405766
100% Corpus,10,asymmetric,0.01,0.4245065844883623
100% Corpus,10,asymmetric,0.31,0.4632848931036834
100% Corpus,10,asymmetric,0.61,0.43078882888881864
100% Corpus,10,asymmetric,0.9099999999999999,0.4133158131909404
100% Corpus,10,asymmetric,symmetric,0.4270402868396331
100% Corpus,11,0.01,0.01,0.4408481013552794
100% Corpus,11,0.01,0.31,0.440465623009605
100% Corpus,11,0.01,0.61,0.4487434246285925
100% Corpus,11,0.01,0.9099999999999999,0.43357680430688195
100% Corpus,11,0.01,symmetric,0.4534767543598917
100% Corpus,11,0.31,0.01,0.4348006637201402
100% Corpus,11,0.31,0.31,0.4391400491327651
